Zodiac,Continent of Birth,Religion,Profession
libra,North America,Christian,Teacher
pisces,NA,NA,Entrepreneurship
gemini,NA,NA,Professor
NA,Asia,Muslim,Police officer
NA,North America,NA,Law enforcement
aquarius,NA,NA,Anthropologist
cancer,NA,NA,Lawyer
leo,NA,Christian,Lawyer
aquarius,NA,NA,Entomology
taurus,NA,NA,Lawyer
taurus,NA,NA,Politician
taurus,NA,NA,Politician
libra,NA,NA,Lawyer
libra,NA,NA,Aerospace engineering
NA,Asia,Buddhist,Lawyer
NA,NA,NA,Lawyer
NA,Asia,Hindu,Lawyer
NA,Asia,Hindu,Politician
NA,Asia,Hindu,Social work
libra,NA,NA,Lawyer
aries,Asia,Hindu,Politician
cancer,NA,NA,Attorneys in the United States
gemini,NA,Christian,Politician
pisces,Europe,NA,Lawyer
aquarius,North America,NA,Commercial fishing
NA,NA,Muslim,Politician
NA,NA,Muslim,Teacher
gemini,Asia,NA,Doctor of Medicine
gemini,Asia,NA,Microbiologist
leo,Asia,Muslim,Mechanical engineering
taurus,NA,Christian,Politician
cancer,NA,Hindu,Farmer
NA,NA,Hindu,Politician
pisces,NA,NA,Officer (armed forces)
leo,NA,Christian,Politician
scorpio,NA,NA,Politician
scorpio,NA,NA,Businessperson
leo,North America,NA,Politician
virgo,NA,NA,National Board of Accountants and Auditors
pisces,North America,Christian,Lawyer
pisces,North America,Christian,Politician
leo,NA,NA,Physician
leo,NA,NA,Politician
NA,NA,Christian,Teacher
scorpio,North America,Jew,Political science
scorpio,North America,Jew,Academic administration
scorpio,NA,Christian,Officer (armed forces)
pisces,NA,Christian,Professor
virgo,NA,NA,Attorneys in the United States
virgo,NA,NA,Attorneys in the United States
aquarius,South America,Christian,Economist
NA,NA,NA,Politician
sagittarius,Europe,NA,Teacher
libra,NA,NA,Judge
cancer,NA,Christian,Lawyer
cancer,NA,Christian,Judge
cancer,NA,Christian,Ombudsman
scorpio,Asia,Hindu,Agriculture
scorpio,Asia,Hindu,Politician
scorpio,Asia,Hindu,Businessperson
pisces,NA,Muslim,Dentist
aquarius,NA,Christian,Politician
aquarius,NA,Christian,Military
gemini,NA,Christian,Historian
aquarius,NA,Christian,Physician
capricorn,NA,Christian,Diplomat
scorpio,NA,NA,Politician
scorpio,NA,NA,Civil service
aries,NA,Hindu,Electrical engineering
aries,NA,Christian,Electrical engineering
cancer,NA,NA,Soldier
taurus,Europe,NA,Soldier
taurus,NA,NA,Civil service
leo,NA,NA,Jurist
leo,NA,NA,Teacher
taurus,NA,NA,Social work
leo,NA,NA,Attorneys in the United States
pisces,NA,NA,Typography
aquarius,Europe,NA,Electrical engineering
pisces,NA,NA,Jurist
pisces,NA,NA,Politician
leo,NA,NA,Teacher
leo,NA,NA,Real estate broker
pisces,NA,NA,Attorneys in the United States
taurus,Europe,NA,Lawyer
taurus,Europe,NA,Politician
leo,NA,Jew,United States Navy Reserve
leo,NA,Jew,Author
leo,NA,Jew,Lawyer
cancer,NA,Christian,Historian
NA,NA,NA,Economist
NA,NA,NA,Diplomat
NA,NA,NA,Civil service
virgo,NA,NA,Civil service
virgo,NA,NA,Electrician
virgo,NA,NA,Design engineer
virgo,NA,NA,Aircraft maintenance
sagittarius,NA,NA,Lawyer
sagittarius,NA,NA,Private investigator
pisces,NA,NA,Journalist
cancer,Europe,NA,Economist
aries,NA,NA,Lawyer
aries,NA,NA,Judge
aries,NA,NA,Politician
scorpio,North America,NA,Lawyer
scorpio,North America,NA,Judge
scorpio,North America,NA,Politician
NA,NA,NA,Farmer
NA,NA,NA,Legislator
capricorn,NA,NA,Veterinary physician
virgo,NA,NA,Soldier
aquarius,Oceania,NA,Emergency medicine
aquarius,NA,NA,Barrister
sagittarius,NA,NA,Lawyer
taurus,North America,Christian,Lawyer
taurus,North America,Christian,Politician
NA,NA,NA,Lawyer
capricorn,NA,NA,Faculty of Advocates
pisces,NA,NA,Engineer
leo,NA,NA,Lawyer
leo,NA,NA,Politician
cancer,North America,NA,Lawyer
cancer,NA,NA,Lawyer
cancer,NA,NA,Politician
cancer,NA,NA,Teacher
cancer,NA,NA,Clerk
cancer,NA,NA,Police commissioner
NA,NA,NA,Surgeon
pisces,NA,Christian,Lawyer
pisces,NA,Christian,Plantations in the American South
pisces,NA,Christian,General (United States)
cancer,NA,NA,Lawyer
cancer,NA,NA,Lawyer
libra,NA,NA,Lawyer
libra,NA,NA,Politician
scorpio,North America,NA,Mason Spencer
scorpio,North America,NA,Lawyer
pisces,North America,Christian,Lawyer
NA,NA,NA,Physician
NA,North America,NA,Vaccine
aquarius,NA,NA,Lawyer
pisces,NA,NA,Pediatrics
aries,NA,NA,Barrister
aries,North America,Christian,Politician
aries,North America,Christian,Bank
cancer,NA,NA,Legal profession
aquarius,Oceania,NA,Politician
NA,NA,NA,Politician
NA,NA,NA,Professor
NA,NA,NA,Attorney General of British Columbia
virgo,NA,NA,Surveying
virgo,NA,NA,Officer (armed forces)
sagittarius,NA,NA,Soldier
sagittarius,NA,NA,Attorney at law
capricorn,NA,NA,Lawyer
taurus,NA,NA,Politician
capricorn,NA,NA,Physician
cancer,Asia,NA,Petroleum geologist
aquarius,NA,NA,Doctor_of_Orthomolecular_Medicine
taurus,NA,NA,Personal assistant
taurus,NA,NA,Insurance broker
aquarius,NA,NA,Law
leo,NA,Christian,Lawyer
cancer,NA,NA,Barrister
sagittarius,North America,NA,Lawyer
sagittarius,North America,NA,Politician
sagittarius,North America,NA,Teacher
capricorn,NA,Christian,Journalist
