Zodiac,Profession
libra,Teacher
pisces,Entrepreneurship
gemini,Professor
aquarius,Anthropologist
cancer,Lawyer
leo,Lawyer
aquarius,Entomology
taurus,Lawyer
taurus,Politician
taurus,Politician
libra,Lawyer
libra,Aerospace engineering
libra,Lawyer
aries,Politician
cancer,Attorneys in the United States
gemini,Politician
pisces,Lawyer
aquarius,Commercial fishing
gemini,Doctor of Medicine
gemini,Microbiologist
leo,Mechanical engineering
taurus,Politician
cancer,Farmer
pisces,Officer (armed forces)
leo,Politician
scorpio,Politician
scorpio,Businessperson
leo,Politician
virgo,National Board of Accountants and Auditors
pisces,Lawyer
pisces,Politician
leo,Physician
leo,Politician
scorpio,Political science
scorpio,Academic administration
scorpio,Officer (armed forces)
pisces,Professor
virgo,Attorneys in the United States
virgo,Attorneys in the United States
aquarius,Economist
sagittarius,Teacher
libra,Judge
cancer,Lawyer
cancer,Judge
cancer,Ombudsman
scorpio,Agriculture
scorpio,Politician
scorpio,Businessperson
pisces,Dentist
aquarius,Politician
aquarius,Military
gemini,Historian
aquarius,Physician
capricorn,Diplomat
scorpio,Politician
scorpio,Civil service
aries,Electrical engineering
cancer,Soldier
taurus,Soldier
taurus,Civil service
leo,Jurist
leo,Teacher
taurus,Social work
leo,Attorneys in the United States
pisces,Typography
aquarius,Electrical engineering
pisces,Jurist
pisces,Politician
leo,Teacher
leo,Real estate broker
pisces,Attorneys in the United States
taurus,Lawyer
taurus,Politician
leo,United States Navy Reserve
leo,Author
leo,Lawyer
cancer,Historian
virgo,Civil service
virgo,Electrician
virgo,Design engineer
virgo,Aircraft maintenance
sagittarius,Lawyer
sagittarius,Private investigator
pisces,Journalist
cancer,Economist
aries,Lawyer
aries,Judge
aries,Politician
scorpio,Lawyer
scorpio,Judge
scorpio,Politician
capricorn,Veterinary physician
virgo,Soldier
aquarius,Emergency medicine
aquarius,Barrister
sagittarius,Lawyer
taurus,Lawyer
taurus,Politician
capricorn,Faculty of Advocates
pisces,Engineer
leo,Lawyer
leo,Politician
cancer,Lawyer
cancer,Lawyer
cancer,Politician
cancer,Teacher
cancer,Clerk
cancer,Police commissioner
pisces,Lawyer
pisces,Plantations in the American South
pisces,General (United States)
cancer,Lawyer
cancer,Lawyer
libra,Lawyer
libra,Politician
scorpio,Mason Spencer
scorpio,Lawyer
pisces,Lawyer
aquarius,Lawyer
pisces,Pediatrics
aries,Barrister
aries,Politician
aries,Bank
cancer,Legal profession
aquarius,Politician
virgo,Surveying
virgo,Officer (armed forces)
sagittarius,Soldier
sagittarius,Attorney at law
capricorn,Lawyer
taurus,Politician
capricorn,Physician
cancer,Petroleum geologist
aquarius,Doctor_of_Orthomolecular_Medicine
taurus,Personal assistant
taurus,Insurance broker
aquarius,Law
leo,Lawyer
cancer,Barrister
sagittarius,Lawyer
sagittarius,Politician
sagittarius,Teacher
capricorn,Journalist
capricorn,Lawyer
virgo,Merchant
virgo,Politician
virgo,Manufacturing
virgo,Miner
pisces,Politician
pisces,Pastor
sagittarius,Politician
libra,Politician
taurus,Industrial engineering
gemini,Journalist
aries,Diplomat
sagittarius,Lawyer
sagittarius,Diplomat
sagittarius,Civil service
taurus,Lawyer
scorpio,Lawyer
virgo,Diplomat
gemini,Politician
virgo,Economist
aquarius,Academician
gemini,Lawyer
pisces,Historian
pisces,Diplomat
gemini,Politician
gemini,Spokesperson
gemini,News presenter
virgo,Politician
aquarius,Political science
aquarius,Sociology
sagittarius,Jurist
sagittarius,Politician
aquarius,Jurist
aquarius,Politician
capricorn,Radio personality
libra,Law enforcement officer
sagittarius,Revolutionary
leo,Politician
cancer,Lawyer
capricorn,Politician
aquarius,Architect
aquarius,Urban planner
leo,Lawyer
scorpio,Soldier
scorpio,Politician
scorpio,Ranch
aries,Attorneys in the United States
taurus,Businessperson
leo,Lawyer
sagittarius,Politician
aquarius,Anesthesiologist
aries,Politician
scorpio,Teacher
scorpio,Cherry
gemini,Teacher
gemini,Legislator
cancer,Agriculture
libra,Politician
aries,Politician
cancer,Social work
aquarius,Actor
aries,Real estate
libra,Engineer
aries,Solicitor
capricorn,Advocate
capricorn,Politician
taurus,Politician
taurus,Barrister
sagittarius,Faculty of Advocates
sagittarius,Faculty of Advocates
libra,Management consulting
taurus,Businessperson
taurus,Lawyer
taurus,Politician
leo,Teacher
sagittarius,Agriculture
leo,Agriculture
leo,Politician
cancer,Businessperson
leo,Chief Medical Officer
aries,Politician
aries,Teacher
aries,Social work
pisces,Lawyer
taurus,Actor
virgo,Politician
cancer,Lawyer
cancer,Politician
scorpio,Housewife
aquarius,Cryptanalysis
aries,Lawyer
aries,Politician
capricorn,Optician
scorpio,Politician
gemini,Social work
pisces,Diplomat
pisces,Entrepreneurship
pisces,Nursing
libra,History of art
gemini,Physician
pisces,Solicitor
leo,Law
gemini,Civil service
leo,Pediatrics
leo,Nursing
aquarius,Registered nurse
pisces,Faculty of Advocates
gemini,Teacher
gemini,Lawyer
gemini,Theology
pisces,Lawyer
pisces,Politician
scorpio,Scholarly method
scorpio,Wikt:Statesman
aquarius,Physician
libra,Journalist
libra,Politician
aries,Mathematician
aries,Philosopher
cancer,Lawyer
taurus,Dentist
taurus,Attorney at law
leo,Lawyer
taurus,Barristers in England and Wales
taurus,Politician
virgo,Businessperson
gemini,Police officer
cancer,Politician
gemini,Legal profession
libra,Politician
aries,Politics of the United States
aries,Diplomacy
taurus,Legal profession
leo,Solicitor
leo,Academia
gemini,Politician
gemini,Bank
sagittarius,Farmer
sagittarius,Postmaster
libra,Lawyer
libra,Writer
cancer,Diplomat
aquarius,Politician
aquarius,Biologist
capricorn,Economics
gemini,Economist
leo,Historian
leo,Politician
leo,Academia
leo,Human rights activists
gemini,Academician
gemini,Politician
pisces,Physician
scorpio,Military
virgo,Accountant
capricorn,Professor
virgo,Soldier
aquarius,Politician
aquarius,Businessperson
aquarius,Agronomy
aries,Lawyer
sagittarius,Army
aries,Magistrate
aquarius,Politician
cancer,Engineer
libra,Physician
libra,Politician
taurus,Diplomat
libra,Lawyer
sagittarius,Lawyer
sagittarius,Politician
virgo,Politician
scorpio,Lawyer
aquarius,District attorney
aries,Lawyer
aries,Politician
libra,University of Minnesota
taurus,Lawyer
taurus,Minister (Christianity)
aquarius,Ethnology
aquarius,Politician
aquarius,Professor
capricorn,Physician
capricorn,Neuroscientist
aquarius,Solicitor
leo,Lawyer
sagittarius,Academic administration
scorpio,Politician
pisces,Chartered accountant
cancer,Soldier
gemini,Physicist
virgo,Barrister
sagittarius,Lawyer
taurus,Lawyer
gemini,Politician
aquarius,Lawyer
pisces,Jurist
pisces,Politician
capricorn,Diplomacy
aries,Politician
virgo,Lawyer
pisces,Economics
taurus,Marketing
capricorn,Lawyer
taurus,Economist
leo,Lawyer
scorpio,Lawyer
scorpio,Politician
scorpio,Diplomat
pisces,Lawyer
virgo,Jurist
aquarius,Architect
aquarius,Politician
cancer,Diplomat
sagittarius,Prosecutor
gemini,Lawyer
